type,name,year,cellar,region,country,varieties,eco,rating,stars,opinions,likes,parker,penin,suckling,price,old_price,offer
Vinos rosados y rosé,Baglio di Pianetto Syrah Rosato Baiasyra,2020,Baglio di Pianetto,Terre Siciliane,Italia,Syrah,ECO,0.0,5,0,1,-1,-1,-1,"11,00 €",,False
Vinos rosados y rosé,Barón de Ley Rosado,2020,Barón de Ley,Rioja,España,Tempranillo / Garnacha,,4.0,5,2,1,-1,-1,-1,"6,40 €",,False
Vinos rosados y rosé,La Vieille Ferme Rosé,2020,La Vieille Ferme,Ventoux,Francia,Cinsaut / Grenache / Syrah,,3.33333,5,3,0,-1,-1,-1,"7,80 €",,False
Vinos rosados y rosé,Gregorio Martínez Finca Sangrado,2016,Bodegas Gregorio Martínez,Rioja,España,Tempranillo / Mazuelo,,5.0,5,2,5,-1,-1,-1,"12,25 €",,False
Vinos rosados y rosé,Jumenta Rosado,2018,Bodega Rodríguez de Vera,Almansa,España,Pinot noir,ECO,0.0,5,0,1,-1,-1,-1,"6,07 €","7,15 €",True
Vinos rosados y rosé,Val delle Corti Rosé Scuro,2020,Val delle Corti,Sin indicación geográfica,Italia,Sangiovese,,5.0,5,1,2,-1,-1,-1,"14,25 €",,False
Vinos rosados y rosé,Pètals de Garnacha,2021,Celler Sabaté,Priorat,España,Garnacha,,4.0,5,1,2,-1,-1,-1,"11,25 €",,False
Vinos rosados y rosé,Rinaldini Lambrusco Frizzante R'Osé,-1,Rinaldini,Emilia,Italia,Lambrusco Marani / Lambrusco Salamino,,0.0,5,0,3,-1,-1,-1,"10,30 €",,False
Vinos rosados y rosé,Bendito Destino Clarete,2021,Bendito Destino,Ribera del Duero,España,Tempranillo / Garnacha / Albillo,,0.0,5,0,1,-1,-1,-1,"34,00 €",,False
Vinos rosados y rosé,Celler Arrufí Corritjola,2021,Celler Arrufí,Terra Alta,España,Garnacha / Syrah,ECO,5.0,5,1,1,-1,-1,-1,"8,05 €",,False
Vinos rosados y rosé,Jean Leon 3055 Rosé,2021,Jean Leon,Penedès,España,Pinot noir / Garnacha,ECO,4.0,5,2,4,-1,-1,-1,"12,50 €",,False
